00010100 10101101 0 -> sum: 11000001, cout: 0
10100111 11100010 1 -> sum: 10001010, cout: 1
10000100 10110001 1 -> sum: 00110110, cout: 1
11001100 00101000 0 -> sum: 11110100, cout: 0
10110110 11011011 0 -> sum: 10010001, cout: 1
10011001 01110011 0 -> sum: 00001100, cout: 1
00000000 00000000 0 -> sum: 00000000, cout: 0
11111111 11111111 1 -> sum: 11111111, cout: 1
00000000 11111111 0 -> sum: 11111111, cout: 0
11111110 11111111 1 -> sum: 11111110, cout: 1
01111111 10000000 0 -> sum: 11111111, cout: 0
00000001 00000010 0 -> sum: 00000011, cout: 0
11111111 00000000 0 -> sum: 11111111, cout: 0
00000000 00000001 0 -> sum: 00000001, cout: 0
01111111 10000001 1 -> sum: 00000001, cout: 1
