1100001000100011 0000111100101101 1 -> sum: 1101000101010001, cout: 0
0100001111001110 1001111001010101 0 -> sum: 1110001000100011, cout: 0
1010100100000101 1101111010001000 0 -> sum: 1000011110001101, cout: 1
1000000101110111 0010001010001101 0 -> sum: 1010010000000100, cout: 0
0011001110100110 1110100111110010 0 -> sum: 0001110110011000, cout: 1
1000100001011010 0001110111001011 1 -> sum: 1010011000100110, cout: 0
0000000000000000 0000000000000000 0 -> sum: 0000000000000000, cout: 0
1111111111111111 1111111111111111 1 -> sum: 1111111111111111, cout: 1
0000000000000000 1111111111111111 0 -> sum: 1111111111111111, cout: 0
1111111111111110 1111111111111111 1 -> sum: 1111111111111110, cout: 1
0111111111111111 1000000000000000 0 -> sum: 1111111111111111, cout: 0
0000000000000001 0000000000000010 0 -> sum: 0000000000000011, cout: 0
1111111111111111 0000000000000000 0 -> sum: 1111111111111111, cout: 0
0000000000000000 0000000000000001 0 -> sum: 0000000000000001, cout: 0
0111111111111111 1000000000000001 1 -> sum: 0000000000000001, cout: 1
