1110001011011001 1101011110110101 1 -> sum: 1011101010001111, cout: 1
1111011010100111 0110001011100100 0 -> sum: 0101100110001011, cout: 1
1010000011100101 0111111001001011 1 -> sum: 0001111100110001, cout: 1
0101110110111000 1101000010000100 1 -> sum: 0010111000111101, cout: 1
1100100010110001 1011101010000001 1 -> sum: 1000001100110011, cout: 1
1110111110111111 1001100101100100 0 -> sum: 1000100100100011, cout: 1
0000000000000000 0000000000000000 0 -> sum: 0000000000000000, cout: 0
1111111111111111 1111111111111111 1 -> sum: 1111111111111111, cout: 1
0000000000000000 1111111111111111 0 -> sum: 1111111111111111, cout: 0
1111111111111110 1111111111111111 1 -> sum: 1111111111111110, cout: 1
0111111111111111 1000000000000000 0 -> sum: 1111111111111111, cout: 0
0000000000000001 0000000000000010 0 -> sum: 0000000000000011, cout: 0
1111111111111111 0000000000000000 0 -> sum: 1111111111111111, cout: 0
0000000000000000 0000000000000001 0 -> sum: 0000000000000001, cout: 0
0111111111111111 1000000000000001 1 -> sum: 0000000000000001, cout: 1
