1100110010111011 1001011011110011 1 -> sum: 0110001110101111, cout: 1
0100000111111111 1100000101000110 1 -> sum: 0000001101000110, cout: 1
0100100000110011 0000111000000010 1 -> sum: 0101011000110110, cout: 0
0101100011011110 1100100011100101 1 -> sum: 0010000111000100, cout: 1
0001110000101000 1100110100001011 0 -> sum: 1110100100110011, cout: 0
0001100111000110 1010111010010010 1 -> sum: 1100100001011001, cout: 0
0000000000000000 0000000000000000 0 -> sum: 0000000000000000, cout: 0
1111111111111111 1111111111111111 1 -> sum: 1111111111111111, cout: 1
0000000000000000 1111111111111111 0 -> sum: 1111111111111111, cout: 0
1111111111111110 1111111111111111 1 -> sum: 1111111111111110, cout: 1
0111111111111111 1000000000000000 0 -> sum: 1111111111111111, cout: 0
0000000000000001 0000000000000010 0 -> sum: 0000000000000011, cout: 0
1111111111111111 0000000000000000 0 -> sum: 1111111111111111, cout: 0
0000000000000000 0000000000000001 0 -> sum: 0000000000000001, cout: 0
0111111111111111 1000000000000001 1 -> sum: 0000000000000001, cout: 1
