0111111100001010 1000101101010111 0 -> sum: 0000101001100001, cout: 1
1110101010101011 1101101101110110 0 -> sum: 1100011000100001, cout: 1
0100101011011101 1111010011011011 1 -> sum: 0011111110111001, cout: 1
0001000010111100 1111110100101001 1 -> sum: 0000110111100110, cout: 1
0001100000010000 1111011001100111 0 -> sum: 0000111001110111, cout: 1
1100101011010110 0110110100111001 1 -> sum: 0011100000010000, cout: 1
0000000000000000 0000000000000000 0 -> sum: 0000000000000000, cout: 0
1111111111111111 1111111111111111 1 -> sum: 1111111111111111, cout: 1
0000000000000000 1111111111111111 0 -> sum: 1111111111111111, cout: 0
1111111111111110 1111111111111111 1 -> sum: 1111111111111110, cout: 1
0111111111111111 1000000000000000 0 -> sum: 1111111111111111, cout: 0
0000000000000001 0000000000000010 0 -> sum: 0000000000000011, cout: 0
1111111111111111 0000000000000000 0 -> sum: 1111111111111111, cout: 0
0000000000000000 0000000000000001 0 -> sum: 0000000000000001, cout: 0
0111111111111111 1000000000000001 1 -> sum: 0000000000000001, cout: 1
